timings, timings_total, nb_constraints, x0s[0], x0s[1], x0s[2], x0s[3]
5.09247,27.6666,200,-9.8,1,0.1,-0.1
4.86549,22.4315,200,-9.76891,0.99688,0.4125,-0.0997498
5.0524,25.0986,200,-9.64064,0.984043,0.725,-0.09583
7.70283,25.7681,200,-9.41512,0.962365,1.0375,-0.085488
3.65042,22.4423,200,-9.09208,0.934682,1.32003,-0.0689667
7.04649,27.7457,200,-8.68055,0.906255,1.5537,-0.0500005
4.34521,23.541,200,-8.19563,0.881988,1.73852,-0.0329242
5.20744,30.953,200,-7.65263,0.864104,1.87451,-0.0200151
5.17712,25.1691,200,-7.06697,0.85238,1.96167,-0.0114532
4.16624,22.2381,200,-6.45399,0.845359,2,-0.00630015
6.67949,32.2157,210,-5.829,0.841422,2,-0.00340511
5.65904,27.9804,211,-5.204,0.839294,2,0.116345
7.59576,32.1577,212,-4.58323,0.911845,2,0.188021
5.78601,27.5815,213,-3.96924,1.02867,2,0.23177
5.70512,30.2072,214,-3.36095,1.17223,2,0.257436
6.74441,31.6548,215,-2.75655,1.33136,2,0.271416
6.53311,31.1056,216,-2.15443,1.49892,2,0.278814
8.94526,31.6625,216,-1.55357,1.67093,2,0.282453
8.63997,30.6934,216,-0.953331,1.84512,2,0.283733
10.1911,30.8591,216,-0.353321,2.02008,2,0.283147
10.7502,30.4361,216,0.246792,2.1947,2,0.280463
10.3439,30.8549,216,0.847372,2.3677,2,0.274632
8.62995,28.9206,216,1.44895,2.53719,2,0.263373
6.04836,27.7238,215,2.0524,2.6999,1.99666,0.242268
5.47793,26.8442,214,2.65813,2.84959,1.97396,0.204968
6.02187,29.1729,213,3.26208,2.97515,1.94525,0.150263
7.95772,29.5276,212,3.86313,3.06615,1.94117,0.0943644
10.8054,32.1289,221,4.46704,3.12331,1.96591,0.0539156
10.2234,31.5185,220,5.0805,3.15641,1.99274,0.123045
10.3952,31.244,220,5.69852,3.23284,2,0.167562
10.8361,30.9437,220,6.31476,3.33708,2,0.195268
8.7218,28.5557,220,6.92789,3.45835,2,0.210968
8.15421,29.9437,220,7.53903,3.58923,2,0.219417
10.4855,33.3551,220,8.14904,3.72527,2,0.223805
10.9582,32.4742,219,8.75846,3.86398,2,0.225813
10.3616,32.215,218,9.36759,4.00392,2,0.226214
10.8255,31.157,217,9.97667,4.1441,2,0.225159
10.409,33.1805,216,10.5859,4.28364,2,0.222236
10.4337,31.7981,216,11.1955,4.42139,2,0.216303
9.22366,30.7888,215,11.806,4.55553,2,0.205036
6.92209,26.831,214,12.4179,4.68278,1.99396,0.184015
7.38806,30.2879,222,13.0305,4.7968,1.97101,0.148348
11.2554,34.3512,223,13.6396,4.88784,1.95214,0.026265
11.708,34.395,223,14.2495,4.90386,1.9518,-0.0690518
10.5222,32.8751,223,14.858,4.86177,1.97209,-0.135043
10.7377,30.7733,223,15.4686,4.7788,1.99382,-0.176074
8.12186,27.7322,223,16.0821,4.66966,2,-0.199065
8.45132,29.831,223,16.6947,4.54607,2,-0.211481
7.2229,28.6868,223,17.3058,4.41487,2,-0.217974
7.52585,30.8452,222,17.916,4.27972,2,-0.221058
6.74179,27.581,221,18.5258,4.14268,2,-0.22193
7.105,28.3291,220,19.1355,4.00511,2,-0.220928
9.09592,29.8881,219,19.7453,3.86815,2,-0.217659
10.2617,30.3018,218,20.3555,3.73318,2,-0.210846
8.48619,26.914,216,20.9667,3.60238,1.99985,-0.197822
5.04406,24.2462,214,21.5794,3.47955,1.98953,-0.173763
7.747,31.2889,213,22.1918,3.37206,1.96494,-0.134752
6.69533,33.7865,212,22.8003,3.28957,1.95194,-0.0885969
6.72923,29.9241,211,23.4079,3.2356,1.96608,-0.0514931
6.35338,31.971,210,24.0215,3.20397,1.99025,-0.0283677
10.088,37.3373,210,24.6432,3.18633,1.9999,-0.0153981
8.94965,35.6442,206,25.2681,3.17671,2,-0.00832257
7.81513,36.778,202,25.893,3.17151,2,-0.00449829
7.7495,34.3269,198,26.518,3.1687,2,-0.00243133
5.2867,27.051,194,27.143,3.16718,2,-0.00131413
6.12096,24.4955,190,27.768,3.16636,2,-0.000710283
8.28971,27.2589,191,28.393,3.16591,2,-0.000383898
4.89627,24.9884,188,29.018,3.16567,2,-0.000207484
5.097,30.3613,185,29.643,3.16554,2,0.0295013
6.35558,25.9308,182,30.2678,3.18398,2,0.0753508
9.17167,27.9669,178,30.891,3.23103,2,0.110483
4.58972,22.8434,175,31.5122,3.29994,2,0.130272
6.27274,27.8071,171,32.1319,3.38113,2,0.140996
6.63469,24.5192,167,32.7507,3.46896,2,0.146774
7.39298,32.8653,167,33.369,3.56036,2,0.149842
4.25752,23.638,164,33.9869,3.65367,2,0.151392
9.04218,29.9149,165,34.6048,3.74793,2,0.152025
10.0128,29.408,169,35.2226,3.84258,2,0.151987
7.76739,28.0761,170,35.8404,3.9372,2,0.151264
5.10194,24.3542,176,36.4583,4.03138,2,0.149573
4.35419,29.0295,177,37.0763,4.12452,2,0.146262
6.64415,28.1138,178,37.6946,4.21561,2,0.140047
8.19636,29.3301,184,38.3135,4.30285,2,0.128515
7.26398,27.2565,186,38.9333,4.38295,2,0.107176
5.33253,28.3788,188,39.5547,4.44981,2,0.0676188
5.4815,29.9641,196,40.1783,4.49204,2,0.0364992
7.10537,31.1584,204,40.8029,4.51484,2,0.0197203
8.62614,33.197,207,41.4278,4.52717,2,0.0106577
6.93551,34.4403,209,42.0527,4.53383,2,0.00576037
5.26003,35.4664,211,42.6777,4.53743,2,0.00311349
6.29105,35.9735,212,43.3027,4.53937,2,0.00168285
8.70411,34.5879,211,43.9277,4.54043,2,-0.0134334
8.24439,33.6653,208,44.5527,4.53203,2,-0.0374567
8.04812,34.0488,208,45.1772,4.50863,2,-0.0593281
8.99398,32.5186,205,45.8011,4.47157,2,-0.0742306
9.65535,33.4864,202,46.4244,4.42522,2,-0.0828838
6.96553,33.8476,199,47.0473,4.37347,2,-0.0876939
6.14577,31.3874,195,47.6699,4.31873,2,-0.0902746
6.82254,31.5327,191,48.2923,4.26239,2,-0.0916303
5.76269,31.0608,186,48.9147,4.2052,2,-0.0922888
7.32028,31.1233,181,49.537,4.1476,2,-0.0925065
8.2582,29.1111,176,50.1594,4.08987,2,-0.0923683
7.57946,26.3879,171,50.7817,4.03222,2,-0.0918204
5.20833,26.1704,167,51.4041,3.97491,2,-0.0906494
6.88994,26.3395,164,52.0265,3.91833,2,-0.0883999
8.27979,28.5278,162,52.6491,3.86316,2,-0.0841964
